t_s,ECG_II,PPG,RESP
0.0,-0.02204,-0.23821,0.00844
0.004,-0.00415,-0.22837,-0.02615
0.008,0.02127,-0.19082,0.00795
0.012,0.00864,-0.20945,0.00037
0.016,0.01037,-0.13953,-0.01662
0.02,-0.00255,-0.14294,-0.01068
0.024,5e-05,-0.12563,0.01079
0.028,0.00654,-0.13144,0.0276
0.032,0.03149,-0.02812,0.04045
0.036,-0.00996,-0.03453,0.02399
0.04,0.02342,-0.04106,0.03119
0.044,-0.02262,0.00244,0.03087
0.048,-0.01015,0.01513,0.02641
0.052,0.00732,0.00603,0.03623
0.056,0.00237,0.01792,0.05679
0.06,-0.01425,0.07366,0.06619
0.064,0.00312,0.06388,0.06895
0.068,0.02752,0.10564,0.07732
0.072,-0.01704,0.13532,0.02774
0.076,-0.01983,0.14485,0.08835
0.08,-0.01234,0.15931,0.07462
0.084,0.00722,0.17763,0.06491
0.088,0.01452,0.19838,0.04247
0.092,0.0141,0.22488,0.04491
0.096,0.01713,0.18201,0.03318
0.1,0.02201,0.25353,0.08106
0.104,-0.01074,0.25215,0.04104
0.108,0.0098,0.27014,0.09616
0.112,0.03869,0.32096,0.06752
0.116,0.01223,0.29978,0.08506
0.12,0.05092,0.32577,0.08877
0.124,0.01689,0.3396,0.06967
0.128,-0.00995,0.35541,0.08853
0.132,-0.01316,0.3973,0.03082
0.136,0.00309,0.38807,0.09688
0.14,-0.02471,0.42199,0.11537
0.144,-0.03182,0.42082,0.08671
0.148,-0.02721,0.4307,0.0772
0.152,0.0099,0.46527,0.09836
0.156,-0.03059,0.47815,0.07788
0.16,0.00047,0.47041,0.10872
0.164,0.03013,0.5306,0.11477
0.168,-0.02075,0.54222,0.07785
0.172,0.01282,0.52289,0.12023
0.176,0.02836,0.52548,0.10251
0.18,0.00974,0.56299,0.10898
0.184,-0.02374,0.55007,0.10629
0.188,-0.01196,0.55638,0.12859
0.192,0.011,0.54721,0.11769
0.196,-0.02565,0.57345,0.11138
0.2,-0.04155,0.58561,0.15433
0.204,0.04122,0.61008,0.10563
0.208,-0.01105,0.57083,0.08288
0.212,0.0102,0.59496,0.13745
0.216,-0.02727,0.63863,0.13457
0.22,-0.00395,0.61718,0.13538
0.224,0.02284,0.5748,0.14741
0.228,0.01251,0.61946,0.16134
0.232,-0.00122,0.57601,0.11579
0.236,-0.01716,0.60121,0.12972
0.24,0.03967,0.58501,0.14632
0.244,-0.00137,0.59213,0.13073
0.248,-0.0391,0.59947,0.1937
0.252,0.02095,0.59441,0.16459
0.256,-0.03223,0.60734,0.18167
0.26,-0.00349,0.5718,0.12876
0.264,-0.00032,0.55681,0.15986
0.268,-0.01963,0.57892,0.2064
0.272,0.00377,0.57445,0.13974
0.276,-0.00985,0.55924,0.1683
0.28,0.01013,0.55009,0.18
0.284,0.01733,0.56838,0.16216
0.288,0.00874,0.55107,0.18309
0.292,0.00423,0.51385,0.20622
0.296,-0.0102,0.52034,0.21147
0.3,0.02225,0.52302,0.18269
0.304,-0.01122,0.48674,0.15536
0.308,0.03743,0.50361,0.20735
0.312,0.00773,0.49402,0.19971
0.316,0.05182,0.45266,0.18885
0.32,0.01646,0.45621,0.18505
0.324,0.02993,0.47144,0.20469
0.328,0.06474,0.42523,0.16835
0.332,0.10294,0.41788,0.19419
0.336,0.16452,0.40509,0.16357
0.34,0.20174,0.42096,0.21169
0.344,0.29224,0.40897,0.19832
0.348,0.38757,0.36825,0.18504
0.352,0.47001,0.33741,0.22468
0.356,0.61567,0.33799,0.20017
0.36,0.69835,0.29999,0.25315
0.364,0.82195,0.30002,0.22798
0.368,0.9188,0.30116,0.21683
0.372,1.00796,0.23809,0.22545
0.376,1.00082,0.22389,0.22296
0.38,1.00224,0.22753,0.22645
0.384,0.92084,0.19357,0.20823
0.388,0.85133,0.17423,0.22317
0.392,0.69939,0.15509,0.21975
0.396,0.6127,0.1181,0.28209
0.4,0.47611,0.11995,0.23885
0.404,0.38718,0.12058,0.25834
0.408,0.26766,0.10156,0.24395
0.412,0.16967,0.07314,0.23194
0.416,0.11211,-0.01237,0.22819
0.42,0.10255,0.02478,0.25756
0.424,0.04593,0.01765,0.25369
0.428,0.03912,-0.00098,0.22361
0.432,-0.01629,-0.0269,0.23574
0.436,0.01789,-0.04299,0.28557
0.44,0.00572,-0.07849,0.30311
0.444,-0.01933,-0.06485,0.23306
0.448,0.02441,-0.12093,0.21224
0.452,0.01086,-0.131,0.28832
0.456,-0.02331,-0.17269,0.2482
0.46,-0.01401,-0.18323,0.30854
0.464,0.00177,-0.19277,0.26715
0.468,0.044,-0.22418,0.27169
